Area,Career Level,Company,Company Website,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,JobtickAnalystjobs,JobtickAvgsalary,JobtickDashboard,JobtickEngineerjobs,jobtickExcel,jobtickPython,JobtickScientistjobs,jobtickSQL,YearsofExperience
Not Specified,Entry,Yusen Logistics Global Management Limited,Not Specified,22-10-2021,22-10-2021,0,['hr.ylhk @ hk.yusen-logistics.comYusen'],Freight Forwarding/Delivery/Shipping,"Information Technology (IT), Support, Transportation & Logistics, Freight Forwarding, Data Scientist","['Data Analysis, system support, visualization', 'Power BI, MSSQL, ETL Tools', 'Acquire system requirements, technical solutions']",/hk/en/job/system-analyst-global-data-analytics-team-100003008835683,System Analyst/ Global Data Analytics Team,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,1,2
Not Specified,Entry,China CITIC Bank International Limited,http://www.cncbinternational.com,22-10-2021,22-10-2021,0,no-email@email.com,Banking,"Information Technology (IT), DBA, Others, Data Scientist","['Analyze data for trends and patterns', 'Develop sanity check programs', 'Identify data exceptions and irregularities']",/hk/en/job/officer-data-office-100003008836755,"Officer, Data Office","Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,1
Not Specified,Middle,China Mobile Hong Kong 中國移動香港,http://www.hk.chinamobile.com,22-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Information Technology (IT), Product Management / Business Analyst, Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - General / Support","['14AL, Double pay, Performance bonus', '5 days work week', 'Staff SIM, Staff offer']",/hk/en/job/senior-business-analyst-market-data-analysis-100003008834097,Senior Business Analyst - Market Data Analysis,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,1,5
Not Specified,Middle,Ampd Energy Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Engineering - Others,"Engineering, Others, Information Technology (IT), Software Development, Data Scientist","['Rapidly Growing Startup Environment', 'Accept Remote Working if necessary', 'Building & Maintaining a variety of Data Pipeline']",/hk/en/job/data-engineer-100003008836036,Data Engineer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,1,0,1,0,0,1
Not Specified,Entry,The Hang Seng University of Hong Kong,https://www.hsu.edu.hk,22-10-2021,22-10-2021,0,no-email@email.com,Education,"Information Technology (IT), Product Management / Business Analyst, Software Development, Sciences, Lab, R&D, Research & Development (R&D)","['Perform data analytics and simulation tasks', 'Perform research related activities.', 'Possess a degree or above in Computer Sciences']",/hk/en/job/project-assistant-full-time-part-time-big-data-intelligence-centre-100003008835120,Project Assistant (Full-time / Part-time) – Big Data Intelligence Centre,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,1,0,1,1
Not Specified,Middle,China Mobile International Limited,http://www.cmi.chinamobile.com/,21-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Information Technology (IT), DBA, Product Management / Business Analyst, Software Development","['Develop Big Data related application systems', 'Data process & integration & warehouse design', 'Data visualization development, project management']",/hk/en/job/business-analyst-big-data-ref-%3A-cmijd-1021-babdithk-100003008833843,Business Analyst (Big Data) (Ref.: CMIJD-1021-BABDITHK),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,5
Not Specified,Entry,Mannings,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Banking / Finance, Analyst, Information Technology (IT), Product Management / Business Analyst, Data Scientist","['1 year Data Analyst or related work experience', 'Knowledge in SQL,VBA, Python, R/ Tableau is a plus', 'Fresh graduates will be considered']",/hk/en/job/analyst-9-month-contract-100003008837896,Analyst (9-month contract),"Contract,Temporary",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,1
Not Specified,Senior,Hong Kong Express Airways Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Tourism / Travel Agency,"Professional Services, Business Analysis / Data Analysis, Business Consultancy, Information Technology (IT), Data Scientist","['Act as an expert consultant in data science', 'Engage BUs to identify and structure problems', 'Develop the data science practice']",/hk/en/job/manager-data-science-insights-100003008829772,"Manager, Data Science & Insights","Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,1,0,0,1,1,1,6
Not Specified,Entry,China State Construction Engineering (Hong Kong) Limited,https://www.cscechk.com/en/,20-10-2021,22-10-2021,['2528 2840'],no-email@email.com,Architecture/Building/Construction,"Information Technology (IT), Others, Data Scientist","[""Degree holder with 3 year's big data analysis exp"", 'Solid exp. in programming language of Python,PHP,R', 'Knowledge in BI Visualization(eg.PowerBI, Tableau)']",/hk/en/job/data-analyst-100003008830511,Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,1,0,1,3
Not Specified,Middle,Hong Kong Genome Institute,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Medical/Pharmaceutical,"Information Technology (IT), IT Auditing, IT Management, Security","['Responsible for IT security practices and policies', 'Bachelor in Computer Science with IT security exp', 'Knowledge of network & security technologies']",/hk/en/job/security-analyst-information-technology-data-platform-100003008837567,Security Analyst (Information Technology & Data Platform),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,3
Not Specified,Middle,Bank of China (Hong Kong) Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Data Scientist","['-', '-', '-']",/hk/en/job/senior-data-analyst-data-analyst-data-scientist-100003008829454,Senior Data Analyst / Data Analyst (Data Scientist),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,1,1,3
Not Specified,Senior,The Hong Kong Jockey Club,http://www.hkjc.com,20-10-2021,22-10-2021,['2576-1987'],no-email@email.com,Athletics/Sports,"Sales, CS & Business Devpt, Business Development, Information Technology (IT), Data Scientist","['Develop AI / IoT ideas and solidify', 'Apply big data and machine learning algorithms', ""Degree or above with 5 yrs' solid exp""]",/hk/en/job/machine-learning-and-data-intelligence-support-manager-senior-data-scientist-100003008828063,Machine Learning and Data Intelligence Support Manager (Senior Data Scientist),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,1,1,1,5
Not Specified,Senior,PCCW Solutions,http://www.pccwsolutions.com,22-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Software Development, Application Specialist - Network, Network & System","['5 years of experience in data management / data warehouse, data lake not a must', 'Candidates with less qualification and experience will be considered as Analyst Programmer or Programmer', 'University graduate in Computer Science, Information Technology or Data Science related disciplines']",/hk/en/job/system-analyst-analyst-programmer-data-warehouse-business-intelligence-100003008836574,"System Analyst / Analyst Programmer - Data Warehouse, Business Intelligence","Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,1,0,1,4
Not Specified,Entry,Cornerstone Global Partners,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Banking / Finance, Others, Information Technology (IT), Product Management / Business Analyst, Data Scientist","['4 years exp in analystics', 'exposure in virtual bank', 'attractive package & salary']",/hk/en/job/data-analyst-100003008829703,Data Analyst,"Contract,Temporary",Not Specified,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,1
Not Specified,Middle,FWD Life Insurance Company (Bermuda) Limited,http://www.fwd.com.hk,20-10-2021,22-10-2021,0,no-email@email.com,Insurance/Pension Funding,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Application Specialist - Software, Data Scientist","['system design, development & support data platform', 'Knowledge on ETL, data mgt & pipeline, SQL, Python', 'Permanent, Discretionary Bonus, 20days AL, Medical']",/hk/en/job/senior-system-analyst-system-analyst-data-engineer-information-technology-100003008830830,"Senior System Analyst / System Analyst (Data Engineer), Information Technology","Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,1,1,1,0,1,4
Not Specified,Middle,Hong Kong Broadband Network Limited,http://www.hkbn.net/2012/,21-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Information Technology (IT), DBA, Others, Data Scientist","['Data Engineering; Enterprise Data Warehouse', 'Data Warehouse concept: RDBMS, NoSQL and/or Hadoop', 'SQL/Python/node.js/Spark']",/hk/en/job/senior-programmer-data-engineer-100003008832156,Senior Programmer / Data Engineer,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,1,1,0,1,0,1,2
Not Specified,Middle,ConnectedGroup Limited,http://www.connectedgroup.com,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), IT Management, Data Scientist","['AI/ Machine Learning/ Big Data', 'AI Implementation', 'Core Data Team']",/hk/en/job/senior-data-scientist-financial-services-100003008830415,"Senior Data Scientist, Financial Services","Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,0,0,0,0,1,1,1,0,1
Not Specified,Middle,A. R. Medicom Inc. (Asia) Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Medical/Pharmaceutical,"Information Technology (IT), Application Specialist - Software, Product Management / Business Analyst, Data Scientist","['5-day work week', 'Medical Insurance', 'Strong business acumen and attention to details']",/hk/en/job/it-data-analyst-database-administrator-100003008824113,IT Data Analyst / Database Administrator,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,1,3
Not Specified,Entry,Wilson Group Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Mass Transportation,"Information Technology (IT), Software Development, Data Scientist","['Assist in data projects to fulfill business needs', 'Degree, exp in business intelligence, data science', 'Knowledge in data infrastructure and related areas']",/hk/en/job/data-analyst-ref-%3A-dit-100003008826422,Data Analyst (Ref. : DIT),"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,1,0,0,1,0,1,1
Not Specified,Middle,Page Group Hong Kong,http://www.pagepersonnel.com.hk,22-10-2021,22-10-2021,['3602 2467'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), IT Project Management / Team Lead, Software Development","['Participate in Data Warehouse project', 'Involves with the whole SDLC', 'Excellent Career Progression']",/hk/en/job/senior-system-analyst-data-warehouse-100003008838189,Senior/System Analyst (Data Warehouse),"Full Time, Permanent",Degree,HK$45K-70K/month,Data Scientist,1,57,0,0,1,0,0,1,1
Not Specified,Middle,Walters People (HK),http://www.walterspeople.com.hk,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist","['Customer behavioral analysis', 'Digital channel analysis', 'SAS programming, R and Python']",/hk/en/job/data-analyst-banking-100003008830615,"Data Analyst, banking","Full Time, Permanent",Degree,HK$25K-35K/month,Data Scientist,1,30,0,0,0,1,0,0,2
Not Specified,Entry,Cathay Pacific Airways Limited,http://www.cathaypacific.com/careers,20-10-2021,22-10-2021,0,no-email@email.com,Freight Forwarding/Delivery/Shipping,"Information Technology (IT), Product Management / Business Analyst, Others, E-commerce, Software Development","['Minimum 3 years of IT experience', 'Proficiency in data visualization tools', 'Travel Benefits, 5-day work, Medical Benefits']",/hk/en/job/business-analyst-100003008828109,Business Analyst,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,1,0,0,1,0,1,1
Not Specified,Middle,Hutchison Telecommunications (Hong Kong) Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Engineering, Electrical / Electronics, Telecommunication / Wireless / Radio, Information Technology (IT), Mobile / Wireless Communications","['Mobile core technology development', 'Network enabling technology', 'Vendor management and Project management']",/hk/en/job/senior-engineer-data-network-packet-core-development-100003008834796,Senior Engineer - Data Network & Packet Core Development,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,0,0,0,0,3
Not Specified,Entry,China State Construction Engineering (Hong Kong) Limited,https://www.cscechk.com/en/,20-10-2021,22-10-2021,0,no-email@email.com,Architecture/Building/Construction,"Information Technology (IT), DBA, Others, Data Scientist","['Working knowledge of SQL Server', 'University degree holder or above', 'Over 3 years of experience in data analyze']",/hk/en/job/analyst-programmer-data-analytics-100003008830512,Analyst Programmer (Data Analytics),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,1,0,1,3
Not Specified,Middle,China Mobile Hong Kong 中國移動香港,http://www.hk.chinamobile.com,20-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist","['Design and develop ETL solutions', 'Data Warehouse Analysis, COGNOS, Oracle oBIEE, SQL', 'Teradata, Greenplum & Oracle']",/hk/en/job/senior-system-analyst-senior-data-analyst-big-data-100003008830434,Senior System Analyst / Senior Data Analyst - Big Data,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,1,0,1,5
Not Specified,Entry,Cathay Pacific Airways Limited,http://www.cathaypacific.com/careers,21-10-2021,22-10-2021,0,no-email@email.com,Freight Forwarding/Delivery/Shipping,"Information Technology (IT), Application Specialist - Software, DBA, Others","['Minimum 6 years of related IT experience', 'Software development lifecycle', 'Travel Benefits, 5-day work, Medical Benefits']",/hk/en/job/solution-analyst-data-integration-and-data-governance-100003008832226,Solution Analyst – Data Integration and Data Governance,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,1
Not Specified,Entry,Dah Chong Hong Holdings Limited,http://www.dch.com.hk,19-10-2021,22-10-2021,0,no-email@email.com,Mixed Industry Group,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Application Specialist - Software, Data Scientist","['Bachelor’s Degree in Computer Science', 'At least 3 years of IT working experience', 'Microsoft Azure Architect Technologies & Design']",/hk/en/job/data-analyst-ref%3A-da-git-100003008826787,Data Analyst (Ref: DA-GIT),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,1,3
Not Specified,Senior,Hypebeast Hong Kong Limited,Not Specified,21-10-2021,22-10-2021,0,no-email@email.com,Media/Publishing/Printing,"Professional Services, Business Analysis / Data Analysis, E-commerce, Product Management / Business Analyst, Information Technology (IT), Data Scientist","['Digital businesses rely on data to strategise', 'Diverse exposure in working with different BU', 'International exposure with oversea team members']",/hk/en/job/senior-manager-data-100003008832969,"Senior Manager, Data","Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,0,0,1,0,0,1,0,1,1
Not Specified,Entry,HKBN Enterprise Solutions HK Limited,Not Specified,21-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Information Technology (IT), Hardware, IT Management, Network & System","['Manage daily operation in Data Center', 'Provide facilities management in Data Center', 'Talent-first Culture']",/hk/en/job/senior-data-center-facility-operator-100003008833863,Senior Data Center Facility Operator,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,3
Not Specified,Entry,Chinasoft International Technology Service (Hong Kong) Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Software Development, Data Scientist","['3 years+ related experience', 'Cloud, BigQuery, Python, Jupyterhub, R, SQL', 'Exp in banking/financial industry is a plus']",/hk/en/job/data-engineer-data-analyst-multiple-positions-100003008826366,Data Engineer / Data Analyst - Multiple positions,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,1,0,1,0,1,1
Not Specified,Senior,EY,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Accounting/Audit/Tax Services,"Accounting, Others, Information Technology (IT), Data Scientist","['Data Strategy roadmap development', 'Data and Analytics Operating Model design', 'Lead the pursuit of new Data Strategy']",/hk/en/job/consulting-data-analytics-data-strategy-and-governance-senior-manager-hong-kong-100003008835400,Consulting - Data & Analytics - Data Strategy and Governance- Senior Manager - Hong Kong,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,1,0,0,0,1
Not Specified,Middle,Michael Page,http://www.michaelpage.com.hk,19-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Data Scientist","['Machine Learning Models', 'Diverse Data Science Use Cases', 'MNC Culture']",/hk/en/job/data-scientist-insurtech-100003008824214,Data Scientist - InsurTech,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,1,0,0,1,1,0,1
Not Specified,Senior,British-American Tobacco Co (HK) Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Others,"Information Technology (IT), Others","['Fast-paced industry', 'Unlimited regional exposure', 'Exciting career growth opportunities']",/hk/en/job/data-analytics-technology-manager-100003008830612,Data & Analytics Technology Manager,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Entry,Cathay Pacific Airways Limited,http://www.cathaypacific.com/careers,21-10-2021,22-10-2021,0,no-email@email.com,Freight Forwarding/Delivery/Shipping,"Information Technology (IT), Application Specialist - Software, DBA, Others","['6 years of related IT experience', 'Subject matter technical competence', 'Travel Benefits, 5-day work, Medical Benefits']",/hk/en/job/solution-analyst-bicc-big-data-platform-and-data-engineering-100003008832206,Solution Analyst - BICC Big Data Platform and Data Engineering,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,1,1,1,0,0,1
Not Specified,Middle,eCloudvalley Technology (HK) Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Product Management / Business Analyst, Technical Writing, Data Scientist","['Working in most Innovative Cloud Technology', 'Excellent career development', ""Bachelor's degree in Computer Science, Engineering""]",/hk/en/job/data-solution-architect-100003008829888,Data Solution Architect,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,1,5
Not Specified,Entry,Mainetti (HK) Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Manufacturing,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, Data Scientist","['Data analytics and reporting', 'Data storage solutions and pipelines', 'Data designs, guidelines, frameworks and practices']",/hk/en/job/data-analyst-100003008826970,Data Analyst,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,1,0,1,0,1,0,0,0,3
Not Specified,Entry,Plaza Premium Group,http://www.plazapremiumgroup.com,22-10-2021,22-10-2021,0,no-email@email.com,Hospitality/Catering,"Information Technology (IT), Product Management / Business Analyst","['5+ years as Data Analyst or BI Analyst/ Developer', 'Exposure to big data technology is a plus', 'Strong data analytical capability and mindset']",/hk/en/job/business-analyst-business-intelligence-100003008838143,"Business Analyst, Business Intelligence","Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,1,0,1,0,0,0,1
Not Specified,Middle,KOS International Limited,http://www.kos-intl.com,19-10-2021,22-10-2021,['3180 4936'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), DBA","['6-8 years of experience', 'Real Estate/property', 'Attractive Package']",/hk/en/job/senior-data-analyst-100003008824490,Senior Data Analyst,"Full Time, Permanent",School Certificate,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,1
Not Specified,Senior,Grant Thornton Hong Kong Limited,Not Specified,21-10-2021,22-10-2021,0,no-email@email.com,Accounting/Audit/Tax Services,"Accounting, Consulting, Others, Information Technology (IT), IT Auditing","['Degree holder in CS, IS, Engineering', '4+ / 2+ years exp relating to Forensic Technology', '5-day working week']",/hk/en/job/assistant-manager-senior-associate-forensic-technology-and-data-analytics-advisory-100003008831934,Assistant Manager / Senior Associate (Forensic Technology and Data Analytics) – Advisory,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,0,2
