Area,Career Level,Company,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Type,Job Title,YearsofExperience,Qualification,Salary,Search Term,jobtick_avgsalary,jobtick_Javascript,jobtick_HTML,jobtick_ReactJS,jobtick_engineerjobs,jobtick_developerjobs,jobtick_programmerjobs,Company Website,Job Link,Job Highlights,Job Functions
Not Specified,Middle,"Cathay United Bank Company, Limited",20-10-2021,22-10-2021,0,no-email@email.com,Banking,"Full Time, Permanent","Full Stack Developer, Treasury Solutions",5,Degree,NotSpecified,Full Stack Developer,0,1,0,0,1,1,0,http://www.cathaybk.com.hk,/hk/en/job/full-stack-developer-treasury-solutions-100003008830292,"['Bachelorâ€™s degree or above', 'At least 5 yearsâ€™ relevant work experience', 'Solid skill in Java development']","Information Technology (IT), Software Development, Others"
Not Specified,Middle,Ignite Recruitment Hong Kong Limited,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer - Corporate & Investment Banking,3,Degree,HK$45K-55K/month,Full Stack Developer,50,1,0,0,1,1,0,Not Specified,/hk/en/job/full-stack-developer-corporate-investment-banking-100003008830664,"['Regional Bank with Strong Financial Performance', 'Work Life Balance with Global Exposures', 'Java JavaScript frameworks Node.js']","Information Technology (IT), Application Specialist - Software, Software Development, Network & System"
Not Specified,Entry,Robert Half Hong Kong Limited,22-10-2021,22-10-2021,0,no-email@email.com,Accounting/Audit/Tax Services,"Full Time, Permanent",Full Stack (Web) - ReactJS Gaming,1,Not Specified,NotSpecified,Full Stack Developer,0,0,0,1,1,0,0,https://www.roberthalf.com.hk,/hk/en/job/full-stack-web-reactjs-gaming-100003008838010,"['Web Development ReactJS NodeJS', 'Gaming Industry/VR', 'Flat Culture Start Up Flexible']","Information Technology (IT), Application Specialist - Software, Software Development, UI/UX Designer"
Not Specified,Entry,Gravitas Recruitment Group,22-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Hedge fund - Web Developer - Full stack  - Great Opportunity,1,Degree,HK$17K-45K/month,Full Stack Developer,31,0,0,1,1,1,0,http://www.gravitasrecruitmentgroup.com,/hk/en/job/hedge-fund-web-developer-full-stack-great-opportunity-100003008837046,"['Hedge Fund', 'Web developer', 'Full Stack']","Information Technology (IT), IT - Webmaster / SEO, Software Development"
Not Specified,Entry,Andrew Found Limited,22-10-2021,22-10-2021,['8481 9451'],['Chloe @andrewfound.com'],Others,"Full Time, Permanent","Full stack/ Developer (React, Node.JS/ React Native) Blockchain/ AI/ Machine learning firm",1,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,1,0,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-react-node-js-react-native-blockchain-ai-machine-learning-firm-100003008835200,"['Work life balance with global exposures', 'Friendly, open, dynamic culture', 'Well-Structured team and awesome Teammates']","Information Technology (IT), Application Specialist - Software, Software Development, Others"
Not Specified,Middle,Ambitious People Group,20-10-2021,22-10-2021,['3511 6267'],no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer (PHP) | eCommerce Giant,1,Non-Degree Tertiary,HK$20K-35K/month,Full Stack Developer,27,1,1,1,0,1,0,http://www.ambitiouspeople.hk,/hk/en/job/full-stack-developer-php-%7C-ecommerce-giant-100003008829293,"['International exposure', 'Large scale revamp projects, Scrum', 'PHP, JavaScript (Vue/React)']","Information Technology (IT), Software Development"
Not Specified,Middle,RIB Solutions Limited,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Web / Full Stack Developer,4,Degree,NotSpecified,Full Stack Developer,0,0,1,0,0,1,0,http://www.rib-international.com,/hk/en/job/web-full-stack-developer-100003008824047,"['Full Stack Developer with emphasis on Front-End', 'Manage web properties, work with int. applications', 'Attractive remuneration and bonus, 5 days work,MNC']","Design, Multi-media, Information Technology (IT), IT - Webmaster / SEO, UI/UX Designer"
Not Specified,Middle,C&R Wise AI Limited,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Senior/Software Developer (Full Stack/AI),5,Degree,NotSpecified,Full Stack Developer,0,1,0,0,0,1,0,Not Specified,/hk/en/job/senior-software-developer-full-stack-ai-100003008815000,"['Python', 'Year-end/gratuity bonus/multi-purpose allowance', 'at least 5 years of related working experience']","Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist"
Not Specified,Entry,PERSOLKELLY Hong Kong Limited,22-10-2021,22-10-2021,['2281 0024'],['tracie_liang @\xa0persolkelly.com'],Human Resources Management/Consultancy,"Full Time, Permanent",Fullstack Web Developer- Reputational Contractor Company,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,http://www.persolkelly.com.hk,/hk/en/job/fullstack-web-developer-reputational-contractor-company-100003008836662,"['Technology, software, application, developer,', 'software, development, application, fullstack', 'frontend, backend, react.js nodejs,python,']","Information Technology (IT), Application Specialist - Software, Software Development"
Not Specified,Senior,Accenture Technology Solutions (HK) Limited,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Technology - Full Stack Development Lead,5,Degree,NotSpecified,Full Stack Developer,0,1,1,1,1,0,0,Not Specified,/hk/en/job/technology-full-stack-development-lead-100003008821876,"['Frontend web /Backend integration development', 'DevOps tools, cloud platform', 'Keen to develop profession in technical delivery']","Information Technology (IT), Application Specialist - Software, Software Development, Technical / Functional Consulting"
Not Specified,Entry,Welab Bank Limited,20-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Full Time, Permanent",Fullstack Developer (Virtual Bank),1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,0,1,1,0,Not Specified,/hk/en/job/fullstack-developer-virtual-bank-100003008830791,"['Full-stack development with latest technologies', 'Enhance our current applications', 'Ensure smooth operation of applications']","Information Technology (IT), Software Development, Network & System, Technical Writing"
Not Specified,Senior,Wah Kwong Shipping Agency Co Limited,18-10-2021,22-10-2021,0,no-email@email.com,Freight Forwarding/Delivery/Shipping,"Full Time, Permanent",Senior Full-Stack Engineer,1,Not Specified,NotSpecified,Full Stack Developer,0,0,1,1,1,0,0,Not Specified,/hk/en/job/senior-full-stack-engineer-100003008821931,"['Family Buisness', 'Business Expansion', 'Attractive Remuneration Package']","Information Technology (IT), Software Development"
Not Specified,Entry,Shiji Information Technology (Hong Kong) Limited,22-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",System Analyst (Web),5,Degree,NotSpecified,Full Stack Developer,0,0,0,1,0,0,0,http://www.shijigroup.com,/hk/en/job/system-analyst-web-100003008837357,"['Bachelor Degree holder in Computer Science', 'Participate in innovative Cloud-based Applications', 'Competitive salary and fringe benefits']","Information Technology (IT), Others"
Not Specified,Entry,Price.com.hk Limited,20-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Senior Web Developer/Web Developer,1,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,0,1,1,1,1,0,http://www.price.com.hk,/hk/en/job/senior-web-developer-web-developer-100003008828610,"['Fast Growing Industry', 'An Expanding E-Commerce Company', 'Offer Training & Development']","Information Technology (IT), IT - Webmaster / SEO, IT Management, Network & System"
Not Specified,Middle,Ambitious People Group,15-10-2021,22-10-2021,['3511 6267'],no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent","Full Stack Developer (React, Node) | AI, Big data, Fintech",1,Non-Degree Tertiary,HK$20K-45K/month,Full Stack Developer,32,1,1,1,1,1,0,http://www.ambitiouspeople.hk,/hk/en/job/full-stack-developer-react-node-%7C-ai-big-data-fintech-100003008816843,"['Latest Technology exposure', 'Work life balance, No OT!', 'Competitive package, stock options']","Information Technology (IT), Software Development"
Not Specified,Entry,Knight Recruitment Services Limited,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Web Developer - Full Stack/Front/Backend(HKD$30k; International Digital Agency; 5day!),3,Degree,NotSpecified,Full Stack Developer,0,0,1,0,0,1,0,http://www.knightrecruitment.com.hk,/hk/en/job/web-developer-full-stack-front-backend-hkd%2430k%3B-international-digital-agency%3B-5day!-100003008826838,"['Full Stack/Frontend /Backend Web development', '5-day, Salary negotiable, Good Career Opportunity', 'Energetic, friendly and open working environment']","Information Technology (IT), Product Management / Business Analyst, Software Development, E-commerce, Software Development"
Not Specified,Senior,Morgan Mckinley Limited,15-10-2021,22-10-2021,['9610 1089'],no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer - Leading Fintech with Westernese company culture,2,Degree,NotSpecified,Full Stack Developer,0,0,1,0,0,1,0,http://www.morganmckinley.com.hk,/hk/en/job/full-stack-developer-leading-fintech-with-westernese-company-culture-100003008817764,"['Leading Fintech', 'Hands on in both Front & Backend development lang', 'Westernese Culture']","Information Technology (IT), Application Specialist - Software, Software Development, Technical Writing"
Not Specified,Entry,Be Myjob Company Limited,14-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer - Finance / trading platform,1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,0,1,0,Not Specified,/hk/en/job/full-stack-developer-finance-trading-platform-100003008814674,"['Frontend Developer', 'Hybrid Mobile Development', 'Develop Finance & Stock Market']","Information Technology (IT), Application Specialist - Software"
Not Specified,Entry,Aladdin Technology Group Limited,15-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Developer,1,Not Specified,HK$35K-45K/month,Full Stack Developer,40,1,1,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008815156,"['Frontend, Backend', 'Fintech, NFT, Blockchain', 'Startup work environment']","Information Technology (IT), Software Development, Technical Writing"
Not Specified,Entry,Yoho Hong Kong Limited,18-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Full Time, Permanent",Full Stack Web Developer / Analyst Programmer (Node.js / React.js / PHP),1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,1,1,1,Not Specified,/hk/en/job/full-stack-web-developer-analyst-programmer-node-js-react-js-php-100003008821734,"['Leading E-commerce start up company', 'Think big and make change', 'Proficiency in JavaScript, Node.js, React']","Information Technology (IT), IT - Webmaster / SEO, Technical Writing, E-commerce, Software Development"
Not Specified,Entry,D&C Services Limited,18-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent","Full-Stack Site Engineer, React.js",1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,0,0,0,Not Specified,/hk/en/job/full-stack-site-engineer-react-js-100003008823864,"['Confident in develop web site w/ minimal guidance', 'Contribute to a growing start-up company', 'Attractive benefits']","Information Technology (IT), IT - Webmaster / SEO"
Not Specified,Middle,CREEDON TECHNOLOGIES HK LTD,18-10-2021,22-10-2021,0,no-email@email.com,Engineering - Electrical/Electronic/Mechanical,"Full Time, Permanent",Senior/Software Engineer (Full Stack),3,Degree,NotSpecified,Full Stack Developer,0,1,1,1,1,0,0,Not Specified,/hk/en/job/senior-software-engineer-full-stack-100003008820364,"['IoT, Javascript', 'Node.js, HTML 5', 'AWS']","Information Technology (IT), Application Specialist - Software, Software Development, Mobile / Wireless Communications"
Not Specified,Entry,Ringus Solution Enterprise Limited,15-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Contract,Temporary",Full Stack Developer (12 months contract / permanent),1,Not Specified,NotSpecified,Full Stack Developer,0,0,0,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-12-months-contract-permanent-100003008817911,"['12 months Contract', 'Proficiency in Node.js, React Native, React.js', 'Team work and friendly environment']","Information Technology (IT), Application Specialist - Software"
Not Specified,Entry,SHOPLINE,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",(Senior) Software Engineer (Full Stack),2,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,0,0,1,1,0,0,Not Specified,/hk/en/job/senior-software-engineer-full-stack-100003008824911,"['2 years + coding experience (Reactjs/nodejs)', 'Fast growing E-commerce platform', 'Attractive package and benefits']","Information Technology (IT), Software Development"
Not Specified,Entry,Bonanza Recruit Limited,15-10-2021,22-10-2021,['6324 7116'],no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Senior Full Stack Develope (Social media/ Bank/ Digital Agency),1,Non-Degree Tertiary,HK$17K-30K/month,Full Stack Developer,23,0,0,1,1,0,0,Not Specified,/hk/en/job/senior-full-stack-develope-social-media-bank-digital-agency-100003008819050,"['5 days work week', 'nodeJS', 'Full stack development']","Information Technology (IT), Application Specialist - Software, Software Development, E-commerce, Software Development"
Not Specified,Senior,Hays,13-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer - Global Leading Insurer,2,Degree,NotSpecified,Full Stack Developer,0,0,0,1,1,1,0,http://hays.com.hk,/hk/en/job/full-stack-developer-global-leading-insurer-100003008813440,"['Chance for creativity', 'Lots of investment in new team', 'High growth insurer']","Information Technology (IT), Software Development, Technical / Functional Consulting, Technical Writing"
Not Specified,Entry,EY Mtel Solutions Limited,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Software Engineer (Full-stack / Front-end),1,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,0,0,1,1,0,0,http://www.mtelnet.com,/hk/en/job/software-engineer-full-stack-front-end-100003008821357,"['Develop and maintain cool applications', 'Work with a great team, for great brands', 'Apply latest technologies and techniques']","Information Technology (IT), Software Development, Technical / Functional Consulting"
Not Specified,Entry,Oursky Limited,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Junior Web / Mobile App Developer,1,Not Specified,HK$20K-25K/month,Full Stack Developer,22,0,0,1,0,1,0,http://oursky.com,/hk/en/job/junior-web-mobile-app-developer-100003008830842,"['For developers who love cutting edge tech', 'Work with the best software team in town', 'Learn from seniors with serious code review']","Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Software Development"
Not Specified,Entry,PetZen International Limited,12-10-2021,22-10-2021,0,no-email@email.com,Others,"Full Time, Permanent",Full Stack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,0,1,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008809612,"['online platform, e-commerce', 'vet & pet business', 'developer, development opportunities']","Information Technology (IT), Software Development"
Not Specified,Entry,Time Medical Limited,15-10-2021,22-10-2021,0,no-email@email.com,Medical/Pharmaceutical,"Full Time, Permanent",Full-Stack Software Engineer,1,Degree,NotSpecified,Full Stack Developer,0,0,0,1,1,0,0,http://www.time-medical.com,/hk/en/job/full-stack-software-engineer-100003008819000,"['Young flexi environment, dental & medical covered', 'Passion for high-tech in medical/robot field', 'Fresh graduates with good knowledge are welcome']","Information Technology (IT), Application Specialist - Software, Software Development, UI/UX Designer"
Not Specified,Middle,Nigel Frank International,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Fullstack Developer,3,Degree,HK$0-8K/month,Full Stack Developer,4,1,1,0,0,1,0,Not Specified,/hk/en/job/fullstack-developer-100003008827791,"[At least Bachelor's degree in Computer Science""", 'hands-on in software development core Java'
Not Specified,Entry,TuoFan IT Limited,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Fullstack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,0,0,1,1,1,0,Not Specified,/hk/en/job/fullstack-developer-100003008825657,"['Start Up', 'Fresh graduates are welcomed', 'cloud-based applications']","Information Technology (IT), Software Development, Others"
Not Specified,Entry,Recruit Logic Limited,22-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Software Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,1,1,0,Not Specified,/hk/en/job/software-developer-100003008837161,"['Hands on experience in React.js/Node.js', 'At least 2 years experience in programming', 'Degree holder in IT or related disciplines']","Information Technology (IT), Application Specialist - Software, Software Development, Others"
Not Specified,Middle,DCCONNECT GLOBAL LIMITED,11-10-2021,22-10-2021,['3594 8507'],no-email@email.com,Information Technology,"Full Time, Permanent",Programmer/Software Developer/Full Stack Developer,2,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,1,0,1,1,1,1,Not Specified,/hk/en/job/programmer-software-developer-full-stack-developer-100003008809332,"['Work From Home and Office (Hybrid Working Style)', 'Performance Incentives', '5 Days Week']","Information Technology (IT), Software Development"
Not Specified,Middle,DB Results Limited,12-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full stack Developer (Node.js),3,Degree,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-node-js-100003008810416,"['5-days work week', '13 month', 'Medical Insurance']","Information Technology (IT), IT Project Management / Team Lead, IT Management, Technical / Functional Consulting"
Not Specified,Entry,Bacera Co Pty Limited,12-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Full Time, Permanent",Full Stack Programmer (5-days work week),1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,0,0,0,1,Not Specified,/hk/en/job/full-stack-programmer-5-days-work-week-100003008809583,"['At least 1 year experience in backend development', 'Must have a consumer centric design approach', 'Sponsor work visa to work in Sydney or LA office']","Information Technology (IT), Application Specialist - Software, Software Development, Network & System"
Not Specified,Entry,GF Lab International Limited,20-10-2021,22-10-2021,0,no-email@email.com,Others,"Full Time, Permanent",Application Developer (Ionic/Angular),1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,0,1,0,Not Specified,/hk/en/job/application-developer-ionic-angular-100003008830849,"['2 years+ experience in application development', 'High degree of autonomy', 'Ionic & Angular']","Information Technology (IT), Software Development"
Not Specified,Senior,SEEK Asia (JobsDB),22-10-2021,22-10-2021,0,no-email@email.com,Media/Publishing/Printing,"Full Time, Permanent",Senior Developer â€“ Identity and Access Management,1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,1,1,1,0,http://www.jobsdb.com,/hk/en/job/senior-developer-identity-and-access-management-100003008838440,"['Our motto: Improving Lives through Better Careers', 'Company Values: We Care, We Aim High, We Deliver', 'Customized career development opportunities']","Information Technology (IT), Software Development"
Not Specified,Middle,Bex Capital Limited,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Solidity Blockchain Developer / Senior Blockchain Developer,2,Degree,HK$70K-120K/month,Full Stack Developer,95,0,0,0,1,1,0,Not Specified,/hk/en/job/solidity-blockchain-developer-senior-blockchain-developer-100003008833533,"['2+ years of blockchain development experience', 'Work from home can be accommodated', 'Experience working with Solidity']","Information Technology (IT), Software Development"
Not Specified,Entry,One Arrow Consulting Asia Limited,11-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008807040,"['E-commerce', 'Open and Flexible Working Culture', 'Full Stack']","Information Technology (IT), Application Specialist - Software, IT Management, Software Development"
Not Specified,Middle,YOOV Internet Technology (HK) Limited,11-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Developer (5-day work),1,Matriculated,NotSpecified,Full Stack Developer,0,1,1,0,1,1,0,Not Specified,/hk/en/job/full-stack-developer-5-day-work-100003008809144,"['User experience and interface design', 'Excellent Career Development Opportunity', 'Work-Life Balance Fast Growing IT Company']","Information Technology (IT), Application Specialist - Software, Software Development, Others"
Not Specified,Entry,One Arrow Consulting Asia Limited,11-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Software Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,0,0,1,1,1,0,Not Specified,/hk/en/job/full-stack-software-developer-100003008807038,"['FinTech', 'Full Stack', 'Cloud Services']","Information Technology (IT), Application Specialist - Software, IT Management, Software Development"
Not Specified,Senior,Pinpoint Asia Limited,11-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Typescript Full Stack Developer - Fast Growing InsurTech Platform,5,Degree,HK$45K-55K/month,Full Stack Developer,50,1,0,0,0,1,0,http://www.pinpointasia.com,/hk/en/job/typescript-full-stack-developer-fast-growing-insurtech-platform-100003008805958,"['Full Stack Typescript Development', 'Digital Insurance Platform', 'Innovative Dev Team']","Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Software Development"
Not Specified,Entry,The Brandon Centre Limited,21-10-2021,22-10-2021,0,no-email@email.com,Education,"Full Time, Permanent",In-house software Developer / Programmer - ongoing maintenance of edutech platform,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,1,0,1,1,http://www.brandoncentre.com,/hk/en/job/in-house-software-developer-programmer-ongoing-maintenance-of-edutech-platform-100003008829303,"['2 - 5 years experience of programming and support', 'In house programmer for edtech platform', 'Full or part time - chance to wfh']","Information Technology (IT), Application Specialist - Software"
Not Specified,Senior,Ampd Energy Limited,22-10-2021,22-10-2021,0,no-email@email.com,Engineering - Others,"Full Time, Permanent",Software Engineering Lead,5,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,0,0,1,1,0,0,Not Specified,/hk/en/job/software-engineering-lead-100003008835938,"['Rapidly Growing Startup Environment', 'Accept Remote Working if Necessary', 'Leading a Cross-functional or Full-stack Team']","Engineering, Others, Information Technology (IT), Software Development, Others"
