Area,Career Level,Company,Company Website,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Functions,Job Highlights,Job Title,Job Type,Qualification,Salary,Search Term,JobtickAvgsalary,Jobtick Productjobs,JobtickPrototyping,JobtickResearch,JobtickUiuxjobs,JobtickWebmobileappjobs,JobtickWireframing,JobtickWriting,YearsofExperience
Not Specified,Middle,Osmium Consulting Group Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Media & Advertising, Creative / Design, Design, Web Designer, Information Technology (IT), UI/UX Designer","['UX UI Designer', '5 Days Work | Bonus | Med | Attractive Package', 'Stable & Good Career Path']",UI/UX Designer ( Web / Mobile Application ),"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,1,1,0,1
Not Specified,Middle,Century City Holdings Limited,Not Specified,2021-10-20,2021-10-22,0,no-email@email.com,Mixed Industry Group,"Media & Advertising, Creative / Design, Design, Graphics, Information Technology (IT), UI/UX Designer","['UI design, UX design, digital visual', 'graphic design', 'direct-to-consumer e-commerce environment']",(Senior) UI/UX Designer (e-Commerce),"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,4
Not Specified,Entry,A&A Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Information Technology,"Design, Web Designer, Others, Information Technology (IT), UI/UX Designer","['5 days work; Medical allowance; Great exposure', 'UX/UI Design; Digital Design; Web Design', 'Website, Mobile App, System, Chatbot and Digital']",UI/UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Middle,High Fashion Group,http://www.highfashion.com.hk,2021-10-20,2021-10-22,0,no-email@email.com,Clothing/Garment/Textile,"Information Technology (IT), UI/UX Designer","['Design and develop website application UXUI', 'Develop and create wireframes for mobile apps', 'Understanding of the latest UX/ UI trends']",UXUI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,2
Not Specified,Middle,Alexis Services Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), UI/UX Designer","['UI design experience', 'NFT', 'Produce sample page layouts (i.e. Wireframes)']",UI /UX Designer - Blockchain Crypto Punks NFT,"Full Time, Permanent",Not Specified,HK$35K-45K/month,UI UX Designer,40,0,0,0,1,0,1,0,1
Not Specified,Entry,TuoFan IT Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), Technical Writing, Others, UI/UX Designer","['UI Design', 'UI/UX Designer', 'Social Media']",UI / UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,0,1,0,1,0,1
Not Specified,Entry,Chow Sang Sang Holdings International Limited,http://www.chowsangsang.com,2021-10-21,2021-10-22,0,no-email@email.com,Wholesale / Retail,"Design, Multi-media, Web Designer, Information Technology (IT), UI/UX Designer","['Responsible for the web design', 'Producing rich and creativemedia online campaigns', '3 years or above web design working experience']",Senior Multimedia Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,0,0,0,0,0,3
Not Specified,Middle,Nexify Limited,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Information Technology,"Design, Web Designer, Information Technology (IT), Software Development, UI/UX Designer","['Develop UI mockups and prototypes', 'Identify and troubleshoot UX problems', 'Attractive remuneration package & 5 days work']",UI/UX Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,0,0,2
Not Specified,Entry,Talent Fields Hong Kong Company Limited,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), UI/UX Designer","['2 - 3 years of work related experience in UXUI', 'Refine UI pattern libraries and design guidelines', 'MNC culture']",Junior UI Designer - up to 30 - 32k MNC,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,0,1,1
Not Specified,Senior,Dreamshub Limited,https://www.dreamshub.com/,2021-10-19,2021-10-22,0,no-email@email.com,Information Technology,"Design, Multi-media, Web Designer, Information Technology (IT), UI/UX Designer","['Friendly work environment,5 days work & double pay', 'Min. 5 years of UI /UX design on web & mobile app', 'Design mockups, interaction models, user task flow']",Senior UI / UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Senior,Ucollex International Limited,Not Specified,2021-10-18,2021-10-22,0,['careers @ucollex.io'],Information Technology,"Media & Advertising, Creative / Design, Marketing / Public Relations, Marketing - Brand / Product Management, Information Technology (IT), UI/UX Designer","['Most disruptive Fintech in the digital world', 'Forward thinking and outgoing team culture', 'Collaborative and Open-space environment']",UX/UI Manager,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,8
Not Specified,Middle,HK Echo Consultant Service Limited,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Financial Services,"Design, Web Designer, Information Technology (IT), Others, UI/UX Designer","['UI/ UX Design', 'Interaction design R&D docking UI/UX walk through', 'Sketch, Photoshop, Axure, Illustrator, AE']",UI/UX Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,3
Not Specified,Middle,Hellotoby Technology (HK) Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Others,"Information Technology (IT), UI/UX Designer","['Design sitemap, wireframes, prototypes', 'Create influential design presentations', 'User research and interaction studies']",Senior UI/UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,2
Not Specified,Senior,SEEK Asia (JobsDB),http://www.jobsdb.com,2021-10-22,2021-10-22,0,no-email@email.com,Media/Publishing/Printing,"Information Technology (IT), UI/UX Designer","['Our motto: Improving Lives through Better Careers', 'Company Values: We Care, We Aim High, We Deliver', 'Customized career development opportunities']","Product Design Lead - Apps & Notifications, APAC","Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,1,0,1,0,1,0,1,1
Not Specified,Senior,Nanyang Commercial Bank,https://www.ncb.com.hk/,2021-10-18,2021-10-22,0,no-email@email.com,Financial Services,"Banking / Finance, Others, Information Technology (IT), UI/UX Designer","['Create system and application concepts', 'Develop compelling and various creative elements', '3-5 years of experience']",e-Banking Manager (UX/UI) (Ref: NH8011-UX-JDB),"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,3
Not Specified,Middle,CREEDON TECHNOLOGIES HK LTD,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Engineering - Electrical/Electronic/Mechanical,"Design, Web Designer, Information Technology (IT), Mobile / Wireless Communications, UI/UX Designer","['Improve UX/UI for Mobile and Web Application', 'Building complete product prototypes', 'Evaluate and set Best practices and standards']",Senior UX/UI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,5
Not Specified,Entry,MGV Innovation Limited,Not Specified,2021-10-15,2021-10-22,0,no-email@email.com,Advertising/Public Relations/Marketing Services,"Media & Advertising, Creative / Design, Design, Graphics, Information Technology (IT), UI/UX Designer","['UI/UX & 2D Designer', 'Work with famous brands and good clients', '5 work days, Medical Scheme & Friendly Environment']",Junior Digital Designer (UI/UX & 2D),"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,1
Not Specified,Entry,Midland Holdings Limited,http://www.midland.com.hk,2021-10-17,2021-10-22,0,no-email@email.com,Property Management / Consultancy,"Information Technology (IT), IT Project Management / Team Lead, Marketing / Public Relations, Digital Marketing, UI/UX Designer","['2yrs exp in develop UI/UX design strategy/concept', 'Passionate/Creative/With emerging trends in UI/UX', 'Strong in Sketch, InVision,Design Systems, Adobe']",Designer (UX),"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,1,1,0,0,0,2
Not Specified,Entry,JH Partners (Asia) Company Limited,Not Specified,2021-10-20,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), UI/UX Designer","['Basic Salary + Commission will be provided.', 'Remote Work if applicable', 'Blockchain / Cryptocurrency User Experience Design']",User Experience Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,1,0,0,0,0,1
Not Specified,Entry,TecPal Limited,Not Specified,2021-10-15,2021-10-22,0,no-email@email.com,Engineering - Electrical/Electronic/Mechanical,"Media & Advertising, Creative / Design, Design, Web Designer, Information Technology (IT), UI/UX Designer","['Multicultural Workplace', '15-day Annual Leave', 'Excellent Career Development']",UX / UI Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,1,1,0,1,0,3
Not Specified,Entry,Hong Kong Trade Development Council,https://www.hktdc.com/,2021-10-15,2021-10-22,0,no-email@email.com,General Business Services,"Information Technology (IT), Application Specialist - Software, E-commerce, Software Development, UI/UX Designer","['UI/UX design projects', 'Knowledge in HTML and CSS', 'Renewable Contract']","UI/UX Designer, Platform Development","Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Entry,GF Lab International Limited,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Others,"Information Technology (IT), UI/UX Designer","['3 years or above of UI design experience', 'Excellent command of spoken and written English', 'High degree of autonomy']",User Interface Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,1,0,0,1,0,1
Not Specified,Entry,P L Technology Limited,Not Specified,2021-10-15,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Multi-media, Information Technology (IT), UI/UX Designer","['1 year+ experience as a UI/UX & Graphic Designer', 'In-house graphic design and production', '12+AL, Medical, Flex-hours, 5days work,']","Graphic Designer (Digital & Event Graphic Content, with UX/UI Exp preferred)","Full Time, Permanent",Matriculated,NotSpecified,UI UX Designer,0,0,1,1,1,0,0,0,1
Not Specified,Middle,Octopus Infotech Limited,Not Specified,2021-10-15,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Information Technology (IT), UI/UX Designer","['UI and graphics design', 'Experience in user experience design (MMI/UI/UX)', '5-day work week and good benefits, incl. medical']",UI & Graphic Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,1,1,0,0,0,2
Not Specified,Entry,Better Pi Limited,Not Specified,2021-10-13,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Information Technology (IT), UI/UX Designer","['Design and create App and Website', 'Develop Wireframes, Flowcharts, Prototypes', 'Flexible, Young and Happy work environment']",UI / UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,2
Not Specified,Senior,Osmium Consulting Group Limited,Not Specified,2021-10-13,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Design, Web Designer, Information Technology (IT), Application Specialist - Software, UI/UX Designer","['1+ year experience | FinTech | E-commerce | MNC', 'Attractive Package | Career Path | Web & Mobile', 'Friendly and energetic working environment']",UI / UX ( Senior ) Designer | Up to 45K ( 5-Day Work ),"Full Time, Permanent",Not Specified,HK$25K-45K/month,UI UX Designer,35,0,0,0,1,0,0,0,1
Not Specified,Middle,Osmium Consulting Group Limited,Not Specified,2021-10-12,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Media & Advertising, Creative / Design, Design, Web Designer, Information Technology (IT), UI/UX Designer","['UX UI Designer | FinTech | Rare Opportunity', '5 Days Work | Bonus | Med | Attractive Package', 'Career Promotion | Young & Energetic | Innovative']",UI / UX Designer | Excellent career path ( UX experience preferred ),"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Entry,YOOV Internet Technology (HK) Limited,Not Specified,2021-10-11,2021-10-22,0,no-email@email.com,Information Technology,"Design, Web Designer, Information Technology (IT), Software Development, UI/UX Designer","['User experience and interface design', 'Excellent Career Development Opportunity', 'Work-Life Balance Fast Growing IT Company']",UI/UX Designer (5-day work),"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Entry,AAStocks.com Limited,http://www.aastocks.com,2021-10-11,2021-10-22,0,no-email@email.com,Financial Services,"Design, Multi-media, Information Technology (IT), Others, UI/UX Designer","['Design/develop Mobile and Website UI', 'Handle multiple projects', 'Minimum of 2 year working experience']",UI/UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,0,1,0,0,0,2
Not Specified,Middle,Tech Nine Limited,Not Specified,2021-10-12,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Multi-media, Information Technology (IT), UI/UX Designer","['Looking for passionate and talented designer', 'Website, Mobile Application, Marketing Collateral', 'Friendly and energetic working environment']",Senior UI/ UX Designer (5 days work),"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,0,1,0,0,0,3
Not Specified,Middle,Wellent System Consultants Limited,Not Specified,2021-10-22,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), IT - Webmaster / SEO, E-commerce, Software Development, UI/UX Designer","['In-house application development', 'Maintain Website', 'JavaScript, HTML, CSS, JQuery']",Website Developer / Programmer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,0,0,1,0,0,1
Not Specified,Entry,Solomon Asset Management (Hong Kong) Limited,Not Specified,2021-10-11,2021-10-22,0,no-email@email.com,Financial Services,"Information Technology (IT), UI/UX Designer","[""0-2 years' experience"", 'Fintech', 'Design']",UI/UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Entry,Ahsay Systems Corporation Limited,http://www.ahsay.com,2021-10-11,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), UI/UX Designer","['UI/UX design for mobile apps, responsive website', 'Fast track of promotion opportunities', 'Working location : Lai Chi Kok']",UI/UX and Graphics Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,1
Not Specified,Entry,theOrigo Limited.,http://www.theorigo.com,2021-10-11,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Outstanding experience in UI/UX Design', 'Strong conceptual thinking and design sense', 'Be innovative. Lead the trend.']",UI/UX Designer / Web Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,1,1,1,1,0,1
Not Specified,Entry,One Arrow Consulting Asia Limited,Not Specified,2021-10-12,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Banking / Finance, Retail Banking, Others, Information Technology (IT), UI/UX Designer","['Virtual Bank', 'Competitive Salary and Package', 'Excellent Benefits']",UI/UX Designer - Virtual Bank Project,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Middle,Viu,http://www.pccw.com,2021-10-11,2021-10-22,['2827 8322'],no-email@email.com,Telecommunication,"Information Technology (IT), Others, UI/UX Designer","['Strong in developing UI/UX Strategy with data in', 'Strong in Presentation and Communication skills', 'Strong in visual and graphic design']",Senior UX/UI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,5
Not Specified,Senior,Social Career Limited,Not Specified,2021-10-11,2021-10-22,0,no-email@email.com,Charity/Social Services/Non-Profit Organisation,"Design, Web Designer, Information Technology (IT), Application Specialist - Software","['3 years of UI/UX design in similar industry', 'Takes ownership from ideation to product', 'Mentor other designers, support frontend developer']",Senior UI/UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Entry,PortfoPlus Limited,Not Specified,2021-10-20,2021-10-22,0,no-email@email.com,Information Technology,"Design, Web Designer, Information Technology (IT), Software Development, UI/UX Designer","['Passionate, seeking Growth and Learn', 'Startup, dynamic, free environment', 'work with smart / energetic teammate']","FinTech Startup Research, Software Engineer, UIUX Designer","Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,1,1
Not Specified,Entry,Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited,Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Others,"Engineering, Others, Information Technology (IT), Software Development, UI/UX Designer","['5-day work week; MPF Top-up and dental benefit', 'Gathering key insights, needs and requirements', 'University Degree in computer science']",User Interface Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,0,0,1,1,1
Not Specified,Middle,ESD Services Limited (ESDlife),Not Specified,2021-10-18,2021-10-22,0,no-email@email.com,Information Technology,"Media & Advertising, Production, Design, Web Designer, Information Technology (IT), UI/UX Designer","['Focus design for web and mobile application', 'Create wireframe, mockup and prototype', 'Sound knowledge in HTML and CSS is a must']",Senior Web Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,0,1,1,0,4
Not Specified,Entry,PwC,Not Specified,2021-10-20,2021-10-22,0,no-email@email.com,Accounting/Audit/Tax Services,"Information Technology (IT), Software Development, Others, UI/UX Designer","['Organizational skills', 'Familiarity with common stacks', 'Excellent communication and teamwork skills']",Solution Specialist (Associate) - FCS - L&D – Innovation Team,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,0,0,0,0,0,0,2
Not Specified,Entry,Gorilla Group Limited,Not Specified,2021-10-08,2021-10-22,0,no-email@email.com,Information Technology,"Design, Graphics, Others, Information Technology (IT), UI/UX Designer","['Photoshop, illustrator, Figma', 'HTML, CSS, Javascript', 'app UI/UX']",UI/UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,2
Not Specified,Entry,Molecule Financial Limited,Not Specified,2021-10-11,2021-10-22,0,no-email@email.com,Financial Services,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Market leading financial social platform', 'Creative fintech start-up environment', 'Backed by investment from conglomerate']",UXUI Designer - Fintech,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,1,0,0,0,1
Not Specified,Senior,Success Base Engineering Limited,Not Specified,2021-10-09,2021-10-22,0,no-email@email.com,Architecture/Building/Construction,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['UI/UX Designer', '3 -5 yrs related exp', 'Interactive prototype tools & languages']",Senior UI/UX Designer / UI/UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Middle,Robert Walters (HK),http://www.robertwalters.com.hk,2021-10-08,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Insurance, Others, Information Technology (IT), UI/UX Designer","['Leading Insurance Firm', 'Great Career Exposure', 'Attractive Salary Package']",UI/UX Designer - up to 60K,"Full Time, Permanent",Degree,HK$45K-70K/month,UI UX Designer,57,0,1,0,1,0,1,0,1
Not Specified,Entry,Kai Shing Management Services Limited,http://www.kaishing.hk,2021-10-08,2021-10-22,"['2827 8608', '3703 5460']",no-email@email.com,Property Management / Consultancy,"Information Technology (IT), Software Development, Others, UI/UX Designer","['5 days work', 'UI/UX design for mobile apps and web', 'Develop wireframes, mockups and prototypes']",Assistant IT Officer (UI / UX Designer),"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,2
Not Specified,Senior,Hays,http://hays.com.hk,2021-10-13,2021-10-22,['2230-7437'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), UI/UX Designer","['Digital Transformation from UX perspective', 'Hybrid UX Designer', 'Global Exposure']","Senior/ Senior Manager, UX Design (Financial)","Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,1
Not Specified,Middle,Cameron Sino Technology Limited,Not Specified,2021-10-07,2021-10-22,0,no-email@email.com,Manufacturing,"Information Technology (IT), UI/UX Designer","['Solid experience in system UI/UX design', 'Demonstrated proficiency in UI/UX design tools', 'Immediate availability is highly preferred']",UI / UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,2
Not Specified,Senior,China CITIC Bank International Limited,http://www.cncbinternational.com,2021-10-18,2021-10-22,0,no-email@email.com,Banking,"Banking / Finance, Others, Information Technology (IT), IT Management, Product Management / Business Analyst","['Support AVP, UI/UX on issues', 'Degree holder in Interaction Design', 'Minimum 4 years of experience']","Senior Manager, Customer Digital Experience","Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,0,0,1,0,1
